City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
126,Severo-Kurilsk,RU,50.6789,156.125,43.61,80,61,5.75,broken clouds,2022-06-02 03:42:35
127,Hilo,US,19.7297,-155.09,85.28,81,100,9.22,overcast clouds,2022-06-02 03:42:36
128,Souillac,MU,-20.5167,57.5167,68.38,88,20,4.61,few clouds,2022-06-02 03:42:36
129,Shingu,JP,33.7333,135.9833,75.15,64,0,6.71,clear sky,2022-06-02 03:42:37
130,San Cristobal,VE,7.7669,-72.225,73.58,88,70,2.06,broken clouds,2022-06-02 03:42:37
131,Marfino,RU,55.7028,37.3822,62.17,82,0,4.47,clear sky,2022-06-02 03:42:38
132,Markova,UA,48.6758,24.4138,58.37,87,72,3.33,broken clouds,2022-06-02 03:42:39
133,Hambantota,LK,6.1241,81.1185,84.54,84,40,10.36,scattered clouds,2022-06-02 03:42:03
134,Vostok,RU,46.4856,135.8833,49.64,85,100,2.59,overcast clouds,2022-06-02 03:42:40
135,Bambous Virieux,MU,-20.3428,57.7575,71.22,88,20,4.61,few clouds,2022-06-02 03:42:40
136,Kaikalur,IN,16.5667,81.2,98.82,30,100,8.48,overcast clouds,2022-06-02 03:43:41
137,Puerto Escondido,MX,15.85,-97.0667,74.23,64,100,8.05,overcast clouds,2022-06-02 03:43:42
138,Esperance,AU,-33.8667,121.9,57.33,82,92,15.35,overcast clouds,2022-06-02 03:43:42
139,Sarmizegetusa,RO,45.5167,22.7833,60.12,80,0,3.56,clear sky,2022-06-02 03:43:43
140,Itarema,BR,-2.9248,-39.9167,75.09,90,100,6.85,overcast clouds,2022-06-02 03:43:43
141,Pangnirtung,CA,66.1451,-65.7125,32.32,82,96,3.83,overcast clouds,2022-06-02 03:43:44
142,Maketu,NZ,-37.7667,176.45,61.05,88,96,13.62,light rain,2022-06-02 03:43:45
143,Hervey Bay,AU,-25.2986,152.8535,66.58,53,9,9.06,clear sky,2022-06-02 03:43:46
144,Wajima,JP,37.4,136.9,77.68,57,20,18.41,few clouds,2022-06-02 03:43:46
145,Haines Junction,CA,60.7522,-137.5108,68.74,25,47,4.27,scattered clouds,2022-06-02 03:43:47
146,Tessalit,ML,20.1986,1.0114,90.59,16,86,10.71,overcast clouds,2022-06-02 03:43:48
147,Vardo,NO,70.3705,31.1107,42.78,93,100,2.3,overcast clouds,2022-06-02 03:43:48
148,Eureka,US,40.8021,-124.1637,54.21,88,100,1.99,overcast clouds,2022-06-02 03:43:49
149,Atuona,PF,-9.8,-139.0333,78.26,78,55,13.11,broken clouds,2022-06-02 03:43:49
150,Adrar,MR,20.5022,-10.0711,85.89,26,70,16.15,broken clouds,2022-06-02 03:43:50
151,Ancud,CL,-41.8697,-73.8203,39.22,83,95,4.99,overcast clouds,2022-06-02 03:43:51
152,Tommot,RU,58.9564,126.2925,60.93,71,99,6.76,light rain,2022-06-02 03:43:51
153,Vibo Valentia,IT,38.6996,16.1274,54.19,56,0,2.59,clear sky,2022-06-02 03:43:52
154,Jieshi,CN,22.8134,115.8257,83.7,78,91,12.95,light rain,2022-06-02 03:43:52
155,Sambava,MG,-14.2667,50.1667,72.7,79,56,6.8,broken clouds,2022-06-02 03:43:53
156,Rocha,UY,-34.4833,-54.3333,38.5,78,4,5.55,clear sky,2022-06-02 03:43:54
157,Boda,CF,4.3189,17.4695,68.49,98,100,3.49,overcast clouds,2022-06-02 03:43:54
158,Ampanihy,MG,-24.7,44.75,63.43,77,50,3.91,scattered clouds,2022-06-02 03:43:55
159,Bonthe,SL,7.5264,-12.505,79.52,82,100,1.5,overcast clouds,2022-06-02 03:43:56
